Day,Start Hour,Impressions
Sunday,00,3
Sunday,01,4
Sunday,02,0
Sunday,03,0
Sunday,04,0
Sunday,05,2
Sunday,06,0
Sunday,07,0
Sunday,08,2
Sunday,09,1
Sunday,10,2
Sunday,11,2
Sunday,12,3
Sunday,13,2
Sunday,14,9
Sunday,15,11
Sunday,16,11
Sunday,17,0
Sunday,18,0
Sunday,19,0
Sunday,20,0
Sunday,21,0
Sunday,22,0
Sunday,23,0
Monday,00,0
Monday,01,1
Monday,02,3
Monday,03,2
Monday,04,3
Monday,05,1
Monday,06,1
Monday,07,1
Monday,08,2
Monday,09,7
Monday,10,7
Monday,11,5
Monday,12,3
Monday,13,2
Monday,14,6
Monday,15,6
Monday,16,2
Monday,17,5
Monday,18,2
Monday,19,7
Monday,20,1
Monday,21,1
Monday,22,0
Monday,23,0
Tuesday,00,2
Tuesday,01,1
Tuesday,02,2
Tuesday,03,0
Tuesday,04,1
Tuesday,05,1
Tuesday,06,2
Tuesday,07,0
Tuesday,08,2
Tuesday,09,6
Tuesday,10,2
Tuesday,11,3
Tuesday,12,6
Tuesday,13,2
Tuesday,14,4
Tuesday,15,6
Tuesday,16,1
Tuesday,17,0
Tuesday,18,0
Tuesday,19,0
Tuesday,20,0
Tuesday,21,0
Tuesday,22,0
Tuesday,23,0
Wednesday,00,0
Wednesday,01,0
Wednesday,02,0
Wednesday,03,0
Wednesday,04,0
Wednesday,05,0
Wednesday,06,0
Wednesday,07,0
Wednesday,08,0
Wednesday,09,0
Wednesday,10,0
Wednesday,11,0
Wednesday,12,0
Wednesday,13,0
Wednesday,14,0
Wednesday,15,0
Wednesday,16,0
Wednesday,17,0
Wednesday,18,0
Wednesday,19,0
Wednesday,20,0
Wednesday,21,0
Wednesday,22,0
Wednesday,23,0
Thursday,00,0
Thursday,01,0
Thursday,02,0
Thursday,03,0
Thursday,04,0
Thursday,05,0
Thursday,06,0
Thursday,07,0
Thursday,08,0
Thursday,09,0
Thursday,10,0
Thursday,11,0
Thursday,12,0
Thursday,13,0
Thursday,14,0
Thursday,15,0
Thursday,16,0
Thursday,17,0
Thursday,18,0
Thursday,19,0
Thursday,20,0
Thursday,21,0
Thursday,22,0
Thursday,23,0
Friday,00,7
Friday,01,3
Friday,02,3
Friday,03,3
Friday,04,3
Friday,05,2
Friday,06,4
Friday,07,2
Friday,08,8
Friday,09,5
Friday,10,4
Friday,11,6
Friday,12,2
Friday,13,1
Friday,14,7
Friday,15,3
Friday,16,4
Friday,17,0
Friday,18,1
Friday,19,7
Friday,20,0
Friday,21,0
Friday,22,0
Friday,23,0
Saturday,00,9
Saturday,01,2
Saturday,02,4
Saturday,03,2
Saturday,04,1
Saturday,05,1
Saturday,06,2
Saturday,07,6
Saturday,08,6
Saturday,09,3
Saturday,10,7
Saturday,11,12
Saturday,12,4
Saturday,13,4
Saturday,14,0
Saturday,15,0
Saturday,16,0
Saturday,17,0
Saturday,18,0
Saturday,19,0
Saturday,20,0
Saturday,21,0
Saturday,22,0
Saturday,23,0
