Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
cleaning service london,Exact match,Enabled,Paused,Enabled,US$34.15,17,21.79%
office cleaning london,Exact match,Enabled,Paused,Enabled,US$34.14,18,33.33%
cleaner near me,Exact match,Enabled,Paused,Enabled,US$33.37,32,40.00%
cleaners near me,Exact match,Enabled,Paused,Enabled,US$23.65,13,52.00%
house cleaners london,Exact match,Enabled,Paused,Enabled,US$9.55,7,36.84%
professional cleaning london,Exact match,Enabled,Paused,Enabled,US$2.28,1,9.09%
house cleaning london,Exact match,Enabled,Paused,Enabled,US$1.00,1,50.00%
home cleaning london,Exact match,Enabled,Paused,Enabled,US$0.99,1,50.00%
professional cleaners london,Exact match,Enabled,Paused,Enabled,US$0.54,1,12.50%
carpet cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
domestic cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
home cleaners london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
carpet cleaning services london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
one off cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
carpet cleaning companies london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaner fulham,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
house cleaning service london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaner wimbledon,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning wimbledon,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning fulham,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning greenwich,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaner hammersmith,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
carpet cleaning fulham,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaner islington,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaner battersea,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
carpet cleaning islington,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
professional rug cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaners camden,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaner canary wharf,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
cleaner notting hill,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
same day cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
carpet cleaning battersea,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
after builders cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
regular cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning clapham,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
deep cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning islington,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
weekly cleaning london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning battersea,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning canary wharf,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning hammersmith,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
carpet cleaner hire london,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
end of tenancy cleaning richmond,Exact match,Enabled,Paused,Enabled,US$0.00,0,0.00%
